"sample","group"
"D11P112T","Leaf_12"
"D11P110C","Leaf_10"
"D11P26T","Leaf_6"
"D11P26C","Leaf_6"
"D11P16C","Leaf_6"
"D11P210T","Leaf_10"
"D11P212T","Leaf_12"
"D11P28B","Leaf_8"
"D11P18B","Leaf_8"
"D11P28C","Leaf_8"
"D11P26B","Leaf_6"
"D11P210B","Leaf_10"
"D11P28T","Leaf_8"
"D11P112B","Leaf_12"
"D11P212B","Leaf_12"
"D11P212C","Leaf_12"
"D11P18T","Leaf_8"
"D11P16T","Leaf_6"
"D11P16B","Leaf_6"
"D11P18C","Leaf_8"
"D11P210C","Leaf_10"
"D11P110T","Leaf_10"
"D11P112C","Leaf_12"
"D11P110B","Leaf_10"
"D12P14A","Leaf_4"
"D12P24A","Leaf_4"
"D12P110A","Leaf_10"
"D12P13A","Leaf_3"
"D12P28A","Leaf_8"
"D12P210A","Leaf_10"
"D12P18A","Leaf_8"
"D12P23A","Leaf_3"
"D12P26A","Leaf_6"
"D12P16A","Leaf_6"
"D12P112A","Leaf_12"
"D13P14A","Leaf_4"
"D13P23A","Leaf_3"
"D13P28A","Leaf_8"
"D13P13A","Leaf_3"
"D13P26A","Leaf_6"
"D13P16A","Leaf_6"
"D13P24A","Leaf_4"
"D13P18A","Leaf_8"
"D14P23A","Leaf_3"
"D14P26A","Leaf_6"
"D14P24A","Leaf_4"
"D14P13A","Leaf_3"
"D14P14A","Leaf_4"
